emotion,brightness,Soil moisture,count
happy,689,59.6774193548,0
,,,
happy,703,59.6774193548,0
,,,
happy,688,59.6774193548,0
,,,
happy,689,59.6774193548,0
,,,
happy,688,59.6774193548,0
,,,
happy,707,59.6774193548,0
,,,
happy,694,59.6774193548,0
,,,
happy,691,59.6774193548,0
,,,
happy,705,55.017921147,0
,,,
happy,697,55.017921147,0
,,,
happy,720,55.017921147,0
,,,
happy,720,55.017921147,0
,,,
angry,220,54.3010752688,0
,,,
angry,199,54.3010752688,0
,,,
angry,215,54.3010752688,0
,,,
happy,688,54.3010752688,0
,,,
happy,707,54.3010752688,0
,,,
happy,707,54.3010752688,0
,,,
happy,714,55.1971326165,1
,,,
happy,703,55.1971326165,1
,,,
happy,727,55.1971326165,1
,,,
happy,702,55.1971326165,1
,,,
happy,714,55.1971326165,0
,,,
happy,748,48.2078853047,0
,,,
happy,773,48.2078853047,0
,,,
happy,746,48.2078853047,0
,,,
happy,757,48.2078853047,0
,,,
happy,770,48.2078853047,0
,,,
happy,755,48.2078853047,0
,,,
happy,772,48.2078853047,0
,,,
happy,784,48.2078853047,0
,,,
happy,778,48.2078853047,0
,,,
happy,778,48.2078853047,0
,,,
happy,764,48.2078853047,0
,,,
happy,754,48.2078853047,0
,,,
happy,767,48.2078853047,0
,,,
happy,772,48.2078853047,0
,,,
happy,767,48.2078853047,0
,,,
happy,777,48.2078853047,0
,,,
happy,767,48.2078853047,0
,,,
happy,778,48.2078853047,0
,,,
happy,771,48.2078853047,0
,,,
happy,784,48.2078853047,0
,,,
happy,757,45.8781362007,0
,,,
happy,774,45.8781362007,0
,,,
happy,763,48.2078853047,0
,,,
happy,756,48.2078853047,0
,,,
happy,773,48.2078853047,0
,,,
happy,769,48.2078853047,0
,,,
happy,755,48.2078853047,0
,,,
happy,768,48.2078853047,0
,,,
happy,755,48.2078853047,0
,,,
happy,759,48.2078853047,0
,,,
happy,766,48.2078853047,0
,,,
happy,774,48.2078853047,0
,,,
happy,758,48.2078853047,0
,,,
happy,762,48.2078853047,0
,,,
happy,765,48.2078853047,0
,,,
happy,753,44.0860215054,0
,,,
happy,773,42.8315412186,0
,,,
happy,770,42.8315412186,0
,,,
happy,770,42.8315412186,0
,,,
happy,764,42.8315412186,0
,,,
happy,757,42.8315412186,0
,,,
happy,766,42.8315412186,0
,,,
happy,758,42.8315412186,0
,,,
happy,770,42.8315412186,0
,,,
happy,780,42.8315412186,0
,,,
happy,763,42.8315412186,0
,,,
happy,774,42.8315412186,0
,,,
happy,764,42.8315412186,0
,,,
happy,771,42.8315412186,0
,,,
happy,768,42.8315412186,0
,,,
happy,770,42.8315412186,0
,,,
happy,765,42.8315412186,0
,,,
happy,765,42.8315412186,0
,,,
happy,785,42.8315412186,0
,,,
happy,765,42.8315412186,0
,,,
happy,769,42.8315412186,0
,,,
happy,761,42.8315412186,0
,,,
happy,773,42.8315412186,0
,,,
happy,745,42.8315412186,0
,,,
happy,769,43.7275985663,0
,,,
happy,783,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,785,43.7275985663,0
,,,
happy,755,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,759,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,766,43.7275985663,0
,,,
happy,759,43.7275985663,0
,,,
happy,763,43.7275985663,0
,,,
happy,763,43.7275985663,0
,,,
happy,764,43.7275985663,0
,,,
happy,780,43.7275985663,0
,,,
happy,755,43.7275985663,0
,,,
happy,763,43.7275985663,0
,,,
happy,775,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,757,43.7275985663,0
,,,
happy,770,43.7275985663,0
,,,
happy,760,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,753,43.7275985663,0
,,,
happy,768,43.7275985663,1
,,,
happy,778,43.7275985663,0
,,,
happy,774,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,765,43.7275985663,0
,,,
happy,765,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,761,43.7275985663,0
,,,
happy,774,43.7275985663,0
,,,
happy,770,43.7275985663,0
,,,
happy,778,43.7275985663,0
,,,
happy,761,43.7275985663,0
,,,
happy,780,43.7275985663,0
,,,
happy,757,43.7275985663,0
,,,
happy,767,43.7275985663,0
,,,
happy,769,43.7275985663,0
,,,
happy,780,43.7275985663,0
,,,
happy,774,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,778,43.7275985663,0
,,,
happy,775,43.7275985663,0
,,,
happy,767,43.7275985663,0
,,,
happy,767,43.7275985663,0
,,,
happy,766,43.7275985663,0
,,,
happy,756,43.7275985663,0
,,,
happy,781,43.7275985663,0
,,,
happy,769,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,759,43.7275985663,0
,,,
happy,764,43.7275985663,0
,,,
happy,764,43.7275985663,0
,,,
happy,769,43.7275985663,0
,,,
happy,770,43.7275985663,0
,,,
happy,761,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,757,43.7275985663,0
,,,
happy,764,43.7275985663,0
,,,
happy,770,43.7275985663,0
,,,
happy,771,43.7275985663,0
,,,
happy,784,43.7275985663,0
,,,
happy,773,43.7275985663,0
,,,
happy,769,43.7275985663,0
,,,
happy,773,43.7275985663,0
,,,
happy,767,43.7275985663,0
,,,
happy,773,43.7275985663,0
,,,
happy,771,43.7275985663,0
,,,
happy,781,43.7275985663,0
,,,
happy,750,43.7275985663,0
,,,
happy,765,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,779,43.7275985663,0
,,,
happy,766,43.7275985663,0
,,,
happy,774,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,754,43.7275985663,0
,,,
happy,790,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,772,43.7275985663,0
,,,
happy,753,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,767,43.7275985663,0
,,,
happy,764,43.7275985663,0
,,,
happy,759,43.7275985663,0
,,,
happy,747,43.7275985663,0
,,,
happy,763,43.7275985663,0
,,,
happy,775,43.7275985663,0
,,,
happy,761,43.7275985663,0
,,,
happy,770,43.7275985663,0
,,,
happy,768,43.7275985663,0
,,,
happy,755,45.1612903226,0
,,,
happy,749,45.1612903226,0
,,,
happy,771,45.1612903226,0
,,,
happy,754,45.1612903226,0
,,,
happy,772,45.1612903226,0
,,,
happy,751,45.1612903226,0
,,,
happy,757,45.1612903226,0
,,,
happy,784,45.1612903226,0
,,,
happy,769,45.1612903226,0
,,,
happy,759,45.1612903226,0
,,,
happy,752,45.1612903226,0
,,,
happy,757,45.1612903226,0
,,,
happy,762,45.1612903226,0
,,,
happy,768,45.1612903226,0
,,,
happy,752,45.1612903226,0
,,,
happy,757,45.1612903226,0
,,,
happy,767,45.1612903226,0
,,,
happy,739,45.1612903226,0
,,,
happy,752,45.1612903226,0
,,,
happy,767,45.1612903226,0
,,,
happy,753,45.1612903226,0
,,,
happy,757,45.1612903226,0
,,,
happy,753,45.1612903226,0
,,,
happy,750,45.1612903226,0
,,,
happy,769,45.1612903226,0
,,,
happy,758,45.1612903226,0
,,,
happy,777,45.1612903226,0
,,,
happy,755,45.1612903226,0
,,,
happy,782,45.1612903226,0
,,,
happy,768,45.1612903226,1
,,,
happy,753,45.1612903226,1
,,,
happy,783,45.1612903226,1
,,,
happy,774,45.1612903226,0
,,,
happy,777,45.1612903226,0
,,,
happy,761,45.1612903226,0
,,,
happy,774,45.1612903226,0
,,,
happy,752,45.1612903226,0
,,,
happy,767,45.1612903226,0
,,,
happy,752,45.1612903226,0
,,,
happy,774,45.1612903226,0
,,,
normal,360,45.1612903226,0
,,,
normal,355,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,358,45.1612903226,0
,,,
normal,348,45.1612903226,0
,,,
normal,357,45.1612903226,0
,,,
normal,338,45.1612903226,0
,,,
normal,320,45.1612903226,0
,,,
normal,368,45.1612903226,0
,,,
normal,358,45.1612903226,0
,,,
normal,363,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,356,45.1612903226,0
,,,
normal,362,45.1612903226,0
,,,
normal,363,45.1612903226,0
,,,
normal,338,45.1612903226,0
,,,
normal,337,45.1612903226,0
,,,
normal,346,45.1612903226,0
,,,
normal,347,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,364,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,367,45.1612903226,0
,,,
normal,333,45.1612903226,0
,,,
normal,348,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,349,45.1612903226,0
,,,
normal,338,45.1612903226,0
,,,
normal,347,45.1612903226,0
,,,
normal,361,45.1612903226,0
,,,
normal,354,45.1612903226,0
,,,
normal,352,45.1612903226,0
,,,
normal,341,45.1612903226,0
,,,
normal,354,45.1612903226,0
,,,
normal,349,45.1612903226,0
,,,
normal,343,45.1612903226,0
,,,
normal,351,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,359,45.1612903226,0
,,,
normal,354,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,348,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,345,45.1612903226,0
,,,
normal,342,45.1612903226,0
,,,
normal,349,45.1612903226,0
,,,
normal,342,45.1612903226,0
,,,
normal,333,45.1612903226,0
,,,
normal,343,45.1612903226,0
,,,
normal,332,45.1612903226,0
,,,
normal,330,45.1612903226,0
,,,
normal,347,45.1612903226,0
,,,
normal,354,45.1612903226,0
,,,
normal,363,45.1612903226,0
,,,
normal,346,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
normal,340,45.1612903226,0
,,,
normal,339,45.1612903226,0
,,,
normal,346,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,343,45.1612903226,0
,,,
normal,356,45.1612903226,0
,,,
normal,336,45.1612903226,0
,,,
normal,329,45.1612903226,0
,,,
normal,370,45.1612903226,0
,,,
normal,347,45.1612903226,0
,,,
normal,353,45.1612903226,0
,,,
normal,340,45.1612903226,0
,,,
normal,355,45.1612903226,0
,,,
normal,337,45.1612903226,0
,,,
normal,337,45.1612903226,0
,,,
normal,342,45.1612903226,0
,,,
normal,338,45.1612903226,0
,,,
normal,349,45.1612903226,0
,,,
normal,350,45.1612903226,0
,,,
